uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,9
AC,OUTRAS,DOMICILIO,"< 9",I,1
AC,OUTRAS,DOMICILIO,"< 9",M,8
AC,OUTRAS,HOSPITAL,"< 9",F,34
AC,OUTRAS,HOSPITAL,"< 9",I,1
AC,OUTRAS,HOSPITAL,"< 9",M,34
AC,OUTRAS,IGNORADO,"< 9",I,1
AC,OUTRAS,OUTRO,"< 9",I,1
AC,OUTRAS,OUTRO,"< 9",M,5
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AC,OUTRAS,VIA_PUBLICA,"< 9",F,1
AC,OUTRAS,VIA_PUBLICA,"< 9",M,1
AC,COVID,HOSPITAL,"< 9",M,5
AC,INDETERMINADA,HOSPITAL,"< 9",F,1
AC,INDETERMINADA,HOSPITAL,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,4
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,9
AC,PNEUMONIA,DOMICILIO,"< 9",F,2
AC,PNEUMONIA,DOMICILIO,"< 9",M,1
AC,PNEUMONIA,HOSPITAL,"< 9",F,25
AC,PNEUMONIA,HOSPITAL,"< 9",I,1
AC,PNEUMONIA,HOSPITAL,"< 9",M,20
AC,SEPTICEMIA,DOMICILIO,"< 9",F,1
AC,SEPTICEMIA,DOMICILIO,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,31
AC,SEPTICEMIA,HOSPITAL,"< 9",M,31
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AC,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
AC,SRAG,DOMICILIO,"< 9",F,1
AC,SRAG,DOMICILIO,"< 9",M,1
AC,SRAG,HOSPITAL,"< 9",F,1
AC,SRAG,HOSPITAL,"< 9",M,4
AL,OUTRAS,DOMICILIO,"< 9",F,10
AL,OUTRAS,DOMICILIO,"< 9",M,13
AL,OUTRAS,HOSPITAL,"< 9",F,136
AL,OUTRAS,HOSPITAL,"< 9",I,4
AL,OUTRAS,HOSPITAL,"< 9",M,187
AL,OUTRAS,OUTRO,"< 9",F,4
